,product,value,customer
200,"['36298381', '35609273', '31047450', '31047464', '35609252']","[283.57762730470984, 85.28509666770042, 50.04485816878652, 40.49780994595678, 34.788990684693694]",196234
201,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",360804
202,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",233418
203,['32078795'],[40.017786856513304],660629
204,"['31047450', '31047464']","[50.04485816878652, 40.49780994595678]",451305
205,"['36298381', '35609273', '35609252']","[283.57762730470984, 85.28509666770042, 34.788990684693694]",671954
206,"['31618321', '36298381', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 283.57762730470984, 142.63741178984728, 98.74240426637577, 33.91712771021427, 13.078840080548325]",396547
207,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",404938
208,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",613496
209,"['31618321', '31618475', '32988382', '35609273', '34129942', '35609252', '31618405']","[410.0400223199819, 222.9675327068517, 209.9403676644521, 85.28509666770042, 52.49113365886005, 34.788990684693694, 33.91712771021427]",457589
210,"['32988382', '31618475']","[132.63339987139267, 89.84182140016723]",619489
211,"['31618321', '36298381', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 283.57762730470984, 142.63741178984728, 98.74240426637577, 33.91712771021427, 13.078840080548325]",574017
212,"['32078970', '36298381', '32078795', '32842551']","[528.9564844490574, 283.57762730470984, 117.72593926855643, 83.09635618345413]",62353
213,"['31047450', '31047464']","[50.04485816878652, 40.49780994595678]",390593
214,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",81184
215,"['32078970', '32078795', '32842551']","[528.9564844490574, 117.72593926855643, 83.09635618345413]",166080
216,"['36298381', '35609273', '35609252', '32078970']","[283.57762730470984, 85.28509666770042, 34.788990684693694, 19.940030652670576]",387595
217,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",587354
